house_number,plant_name,planting_date,date,time,indoor_temperature,indoor_humidity,outdoor_temperature,outdoor_humidity,wind_direction,wind_direction,wind_speed,wind_speed,inner_left_window_top_opening,inner_left_window_bottom_opening,inner_right_window_top_opening,inner_right_window_bottom_opening,outer_left_window_top_opening,outer_left_window_bottom_opening,outer_right_window_top_opening,outer_right_window_bottom_opening,temperature,humidity,solar_irradiance,solar_time,rain_per_hour,snow_per_hour
,,,2025-06-10,07:50:03,30.1,59.2,,,,23,,2.1,,,,,,,,,22.45,80.12,0.99,0.8,0.0,0.0
,,,2025-06-10,07:55:01,30.7,57.7,,,,23,,2.1,,,,,,,,,22.58,79.56,1.05,0.86,0.0,0.0
,,,2025-06-10,08:00:10,31.2,55.1,,,,23,,2.1,,,,,,,,,22.7,79.0,1.12,0.9,0.0,0.0
,,,2025-06-10,08:05:08,31.9,54.6,,,,23,,2.13,,,,,,,,,22.81,78.43,1.19,0.93,0.0,0.0
,,,2025-06-10,08:10:06,32.7,51.0,,,,23,,2.2,,,,,,,,,22.91,77.86,1.25,0.96,0.0,0.0
,,,2025-06-10,08:15:04,33.2,50.4,,,,22,,2.31,,,,,,,,,23.0,77.28,1.32,0.98,0.0,0.0
,,,2025-06-10,08:20:03,33.8,49.0,,,,22,,2.45,,,,,,,,,23.08,76.69,1.4,1.0,0.0,0.0
,,,2025-06-10,08:25:01,34.1,47.2,,,,22,,2.6,,,,,,,,,23.17,76.11,1.47,1.02,0.0,0.0
,,,2025-06-10,08:30:10,34.2,47.1,,,,22,,2.76,,,,,,,,,23.25,75.52,1.54,1.03,0.0,0.0
,,,2025-06-10,08:35:08,35.3,44.8,,,,21,,2.93,,,,,,,,,23.34,74.93,1.61,1.03,0.0,0.0
,,,2025-06-10,08:40:07,35.8,43.0,,,,21,,3.08,,,,,,,,,23.43,74.34,1.68,1.03,0.0,0.0
,,,2025-06-10,08:45:05,36.4,42.3,,,,21,,3.23,,,,,,,,,23.53,73.75,1.75,1.03,0.0,0.0
,,,2025-06-10,08:50:03,37.2,40.3,,,,20,,3.35,,,,,,,,,23.64,73.16,1.82,1.02,0.0,0.0
,,,2025-06-10,08:55:01,37.7,39.8,,,,20,,3.45,,,,,,,,,23.76,72.58,1.89,1.01,0.0,0.0
,,,2025-06-10,09:00:00,37.6,39.9,,,,20,,3.5,,,,,,,,,23.9,72.0,1.95,1.0,0.0,0.0
,,,2025-06-10,09:05:08,37.8,39.0,,,,20,,3.48,,,,,,,,,24.06,71.43,2.0,0.98,0.0,0.0
,,,2025-06-10,09:10:07,37.2,40.2,,,,21,,3.38,,,,,,,,,24.23,70.86,2.03,0.94,0.0,0.0
,,,2025-06-10,09:15:05,36.8,41.7,,,,21,,3.2,,,,,,,,,24.41,70.29,2.05,0.9,0.0,0.0
,,,2025-06-10,09:20:03,35.4,42.8,,,,22,,2.97,,,,,,,,,24.6,69.72,2.05,0.85,0.0,0.0
,,,2025-06-10,09:25:02,33.9,45.5,,,,22,,2.7,,,,,,,,,24.79,69.16,2.04,0.79,0.0,0.0
,,,2025-06-10,09:30:00,33.8,46.0,,,,22,,2.41,,,,,,,,,24.98,68.59,2.03,0.73,0.0,0.0
,,,2025-06-10,09:35:09,34.9,43.7,,,,23,,2.12,,,,,,,,,25.18,68.01,2.01,0.67,0.0,0.0
,,,2025-06-10,09:40:07,35.3,43.9,,,,23,,1.85,,,,,,,,,25.37,67.43,1.99,0.62,0.0,0.0
,,,2025-06-10,09:45:06,36.5,40.7,,,,24,,1.62,,,,,,,,,25.55,66.84,1.98,0.57,0.0,0.0
,,,2025-06-10,09:50:04,35.3,41.9,,,,24,,1.44,,,,,,,,,25.71,66.24,1.98,0.54,0.0,0.0
,,,2025-06-10,09:55:02,34.5,44.0,,,,25,,1.33,,,,,,,,,25.87,65.63,1.99,0.51,0.0,0.0
,,,2025-06-10,10:00:01,34.7,44.4,,,,25,,1.3,,,,,,,,,26.0,65.0,2.01,0.5,0.0,0.0
