# YYMMDDHHMI STN  WD   WS GST  GST  GST     PA     PS PT    PR    TA    TD    HM    PV     RN     RN     RN     RN     SD     SD     SD WC WP WW                      CA  CA   CH CT        CT  CT  CT    VS   SS    SI ST    TS    TE    TE    TE    TE  ST   WH BF IR IX
#        KST  ID  16  m/s  WD   WS   TM    hPa    hPa  -   hPa     C     C     %   hPa     mm    DAY    JUN    INT    HR3    DAY    TOT -- -- ---------------------- TOT MID  MIN -------- TOP MID LOW                  GD     C     5    10    20    30 SEA    m --  -  -
202507111200 181  14  2.8  -9 -9.0   -9 1008.7 1012.5  7  -0.8  31.8  16.5  40.0  18.8   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  5000  1.0  3.42 -9  44.5 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202507111300 181   9  3.9  -9 -9.0   -9 1008.4 1012.1 -9  -9.0  32.4  17.0  40.0  19.4   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  5000  1.0  3.54 -9  45.7 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202507111400 181  11  2.8  -9 -9.0   -9 1007.8 1011.5 -9  -9.0  32.8  16.6  38.0  18.9   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  5000  1.0  3.47 -9  45.6 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202507111500 181  14  2.6  -9 -9.0   -9 1007.3 1011.0  7  -1.5  33.6  19.2  43.0  22.2   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  5000  1.0  3.16 -9  44.3 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202507111600 181   7  4.4  -9 -9.0   -9 1007.1 1010.8 -9  -9.0  33.4  16.7  37.0  19.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  4830  1.0  2.69 -9  41.5 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202507111700 181  11  3.8  -9 -9.0   -9 1006.9 1010.6 -9  -9.0  33.5  16.3  36.0  18.5   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  5000  1.0  2.05 -9  38.5 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202507111800 181  11  3.8  -9 -9.0   -9 1006.9 1010.6  6  -0.4  32.9  14.9  34.0  16.9   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  5000  1.0  1.36 -9  35.4 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202507111900 181  16  1.8  -9 -9.0   -9 1007.2 1011.0 -9  -9.0  31.6  15.5  38.0  17.6   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        1   0   -9 -         -9  -9  -9  5000  1.0  0.65 -9  32.9 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202507112000 181  16  2.0  -9 -9.0   -9 1007.6 1011.4 -9  -9.0  29.7  15.4  42.0  17.5   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  5000  0.4  0.10 -9  30.4 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202507112100 181  16  3.2  -9 -9.0   -9 1008.4 1012.2  2   1.6  28.6  14.7  43.0  16.7   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  5000 -9.0 -9.00 -9  28.8 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202507112200 181  16  2.7  -9 -9.0   -9 1009.0 1012.8 -9  -9.0  27.8  13.7  42.0  15.7   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  4590 -9.0 -9.00 -9  27.6 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202507112300 181  16  1.9  -9 -9.0   -9 1009.3 1013.1 -9  -9.0  25.2  14.9  53.0  16.9   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  5000 -9.0 -9.00 -9  26.6 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202507120000 181  16  2.7  -9 -9.0   -9 1009.1 1012.9  0   0.7  25.3  14.1  50.0  16.1   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  5000 -9.0 -9.00 -9  25.7 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202507120100 181  14  2.4  -9 -9.0   -9 1008.9 1012.8 -9  -9.0  24.3  14.1  53.0  16.1   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  5000 -9.0 -9.00 -9  24.7 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202507120200 181   2  0.7  -9 -9.0   -9 1008.6 1012.5 -9  -9.0  21.1  16.4  75.0  18.6   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  5000 -9.0 -9.00 -9  24.0 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202507120300 181  18  0.9  -9 -9.0   -9 1008.3 1012.2  7  -0.7  20.6  16.4  77.0  18.6   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  5000 -9.0 -9.00 -9  23.3 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202507120400 181   0  0.0  -9 -9.0   -9 1008.3 1012.2 -9  -9.0  19.6  15.4  77.0  17.5   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        3   0   -9 -         -9  -9  -9  5000 -9.0 -9.00 -9  22.6 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
