# YYMMDDHHMI STN  WD   WS GST  GST  GST     PA     PS PT    PR    TA    TD    HM    PV     RN     RN     RN     RN     SD     SD     SD WC WP WW                      CA  CA   CH CT        CT  CT  CT    VS   SS    SI ST    TS    TE    TE    TE    TE  ST   WH BF IR IX
#        KST  ID  16  m/s  WD   WS   TM    hPa    hPa  -   hPa     C     C     %   hPa     mm    DAY    JUN    INT    HR3    DAY    TOT -- -- ---------------------- TOT MID  MIN -------- TOP MID LOW                  GD     C     5    10    20    30 SEA    m --  -  -
202411110200 236   0  0.1  -9 -9.0   -9 1020.4 1022.1 -9  -9.0   7.1   6.9  99.0   9.9   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9   789 -9.0 -9.00 -9   6.9 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202411110300 236   0  0.1  -9 -9.0   -9 1020.3 1022.0  0   0.2   6.5   6.3  99.0   9.5   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9   595 -9.0 -9.00 -9   6.6 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202411110400 236   0  0.0  -9 -9.0   -9 1020.1 1021.8 -9  -9.0   6.1   6.0 100.0   9.3   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9   483 -9.0 -9.00 -9   6.3 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202411110500 236   0  0.1  -9 -9.0   -9 1020.1 1021.8 -9  -9.0   6.0   5.9 100.0   9.3   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9   590 -9.0 -9.00 -9   6.3 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202411110600 236   0  0.0  -9 -9.0   -9 1020.1 1021.8  6  -0.2   5.0   4.9 100.0   8.7   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9   160 -9.0 -9.00 -9   5.8 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202411110700 236   0  0.0  -9 -9.0   -9 1020.5 1022.2 -9  -9.0   4.8   4.7 100.0   8.5   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9   197 -9.0 -9.00 -9   5.7 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202411110800 236   0  0.0  -9 -9.0   -9 1020.8 1022.5 -9  -9.0   5.8   5.7 100.0   9.2   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9   273  0.3 -9.00 -9   7.8 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202411110900 236   0  0.1  -9 -9.0   -9 1021.2 1022.9  2   1.1   8.4   7.6  95.0  10.4   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        4   0   -9 -         -9  -9  -9   891  1.0 -9.00 -9  15.5 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202411111000 236  18  0.5  -9 -9.0   -9 1021.2 1022.8 -9  -9.0  11.8   9.6  87.0  11.9   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        2   0   -9 -         -9  -9  -9  1346  1.0 -9.00 -9  21.6 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202411111100 236   0  0.3  -9 -9.0   -9 1020.8 1022.4 -9  -9.0  15.8   9.6  67.0  11.9   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        2   0   -9 -         -9  -9  -9  1847  1.0 -9.00 -9  26.6 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202411111200 236  36  1.0  -9 -9.0   -9 1019.7 1021.3  7  -1.6  18.5   8.4  52.0  11.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        2   0   -9 -         -9  -9  -9  2125  1.0 -9.00 -9  28.7 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202411111300 236   2  1.3  -9 -9.0   -9 1018.2 1019.8 -9  -9.0  19.9   8.5  48.0  11.1   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        2   0   -9 -         -9  -9  -9  2555  1.0 -9.00 -9  29.9 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202411111400 236  34  0.6  -9 -9.0   -9 1017.2 1018.8 -9  -9.0  20.6   7.5  43.0  10.4   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        3   0   -9 -         -9  -9  -9  2388  1.0 -9.00 -9  29.7 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202411111500 236   0  0.4  -9 -9.0   -9 1017.1 1018.7  7  -2.6  21.1   5.8  37.0   9.2   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        1   0   -9 -         -9  -9  -9  3145  1.0 -9.00 -9  28.2 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202411111600 236   9  0.6  -9 -9.0   -9 1016.7 1018.3 -9  -9.0  20.9   6.4  39.0   9.6   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        2   0   -9 -         -9  -9  -9  3579  1.0 -9.00 -9  21.3 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202411111700 236  23  1.0  -9 -9.0   -9 1016.6 1018.2 -9  -9.0  18.5  10.3  59.0  12.5   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        2   0   -9 -         -9  -9  -9  2129  0.8 -9.00 -9  16.1 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202411111800 236   0  0.0  -9 -9.0   -9 1016.6 1018.2  6  -0.5  15.3  10.8  75.0  12.9   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        2   0   -9 -         -9  -9  -9  1346  0.0 -9.00 -9  12.9 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202411111900 236   0  0.2  -9 -9.0   -9 1017.5 1019.1 -9  -9.0  13.7  10.8  83.0  12.9   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        1   0   -9 -         -9  -9  -9  1012 -9.0 -9.00 -9  11.7 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202411112000 236   0  0.1  -9 -9.0   -9 1017.8 1019.4 -9  -9.0  12.0  10.2  89.0  12.4   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        2   0   -9 -         -9  -9  -9   727 -9.0 -9.00 -9  10.6 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202411112100 236   0  0.0  -9 -9.0   -9 1018.4 1020.0  2   1.8  10.7   9.7  94.0  12.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        2   0   -9 -         -9  -9  -9   581 -9.0 -9.00 -9  10.0 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202411112200 236   0  0.1  -9 -9.0   -9 1018.6 1020.2 -9  -9.0  10.2   9.5  96.0  11.9   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        2   0   -9 -         -9  -9  -9   488 -9.0 -9.00 -9   9.4 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202411112300 236   0  0.1  -9 -9.0   -9 1018.7 1020.3 -9  -9.0  10.1   9.7  98.0  12.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        2   1   36 -         -9  -9  -9   431 -9.0 -9.00 -9   9.3 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202411120000 236   0  0.0  -9 -9.0   -9 1018.7 1020.3  1   0.3   9.8   9.4  98.0  11.8   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        7   6   35 -         -9  -9  -9   359 -9.0 -9.00 -9  10.0 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202411120100 236   0  0.0  -9 -9.0   -9 1018.6 1020.2 -9  -9.0   9.8   9.4  98.0  11.8   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        8   8   36 -         -9  -9  -9   318 -9.0 -9.00 -9  10.2 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202411120200 236   0  0.1  -9 -9.0   -9 1018.3 1019.9 -9  -9.0   9.8   9.6  99.0  11.9   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        8   8   36 -         -9  -9  -9   297 -9.0 -9.00 -9  10.0 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
