#START7777
#2345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234
# YYMMDDHHMI STN  WD   WS GST  GST  GST     PA     PS PT    PR    TA    TD    HM    PV     RN     RN     RN     RN     SD     SD     SD WC WP WW                      CA  CA   CH CT        CT  CT  CT    VS   SS    SI ST    TS    TE    TE    TE    TE  ST   WH BF IR IX
#        KST  ID  16  m/s  WD   WS   TM    hPa    hPa  -   hPa     C     C     %   hPa     mm    DAY    JUN    INT    HR3    DAY    TOT -- -- ---------------------- TOT MID  MIN -------- TOP MID LOW                  GD     C     5    10    20    30 SEA    m --  -  -
202409120100 236   0  0.4  -9 -9.0   -9 1014.8 1016.3 -9  -9.0  25.0  24.8  99.0  31.3   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                       10   7   12 -         -9  -9  -9  2444 -9.0 -9.00 -9  26.5 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202409120200 236   0  0.0  -9 -9.0   -9 1014.6 1016.1 -9  -9.0  25.0  24.8  99.0  31.3   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                       10  10    1 -         -9  -9  -9  1717 -9.0 -9.00 -9  26.6 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202409120300 236   0  0.3  -9 -9.0   -9 1014.6 1016.1  6  -0.6  25.1  24.9  99.0  31.5    0.0    0.0    0.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        8   8    5 -         -9  -9  -9  1677 -9.0 -9.00 -9  26.5 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  1 -9
202409120400 236   0  0.0  -9 -9.0   -9 1014.4 1015.9 -9  -9.0  25.0  24.8  99.0  31.3   -9.0    0.0    0.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        8   8    1 -         -9  -9  -9  1595 -9.0 -9.00 -9  26.3 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202409120500 236   0  0.2  -9 -9.0   -9 1014.6 1016.1 -9  -9.0  25.2  25.0  99.0  31.7   -9.0    0.0    0.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                       10   8    1 -         -9  -9  -9  1469 -9.0 -9.00 -9  26.3 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202409120600 236   0  0.1  -9 -9.0   -9 1014.5 1016.0  5  -0.1  25.0  24.8  99.0  31.3   -9.0    0.0    0.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                       10   8    1 -         -9  -9  -9  1265 -9.0 -9.00 -9  26.3 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202409120700 236   0  0.0  -9 -9.0   -9 1014.7 1016.2 -9  -9.0  25.4  25.2  99.0  32.1   -9.0    0.0    0.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                       10   9    1 -         -9  -9  -9  2001  0.0 -9.00 -9  26.7 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202409120800 236   0  0.0  -9 -9.0   -9 1014.8 1016.3 -9  -9.0  25.6  25.2  98.0  32.1    0.0    0.0    0.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                       10   9    1 -         -9  -9  -9  1621  0.0 -9.00 -9  27.4 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  1 -9
202409120900 236   0  0.0  -9 -9.0   -9 1014.8 1016.3  1   0.3  26.5  25.2  93.0  32.1    0.0    0.0    0.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                       10  10    2 -         -9  -9  -9  4319  0.0 -9.00 -9  29.3 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  1 -9
202409121000 236   0  0.1  -9 -9.0   -9 1014.6 1016.1 -9  -9.0  27.8  25.4  87.0  32.4   -9.0    0.0    0.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                       10   6   13 -         -9  -9  -9  4142  0.0 -9.00 -9  33.0 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
