# YYMMDDHHMI STN  WD   WS GST  GST  GST     PA     PS PT    PR    TA    TD    HM    PV     RN     RN     RN     RN     SD     SD     SD WC WP WW                      CA  CA   CH CT        CT  CT  CT    VS   SS    SI ST    TS    TE    TE    TE    TE  ST   WH BF IR IX
#        KST  ID  16  m/s  WD   WS   TM    hPa    hPa  -   hPa     C     C     %   hPa     mm    DAY    JUN    INT    HR3    DAY    TOT -- -- ---------------------- TOT MID  MIN -------- TOP MID LOW                  GD     C     5    10    20    30 SEA    m --  -  -
202504030800 131   5  2.0  -9 -9.0   -9 1014.8 1022.2 -9  -9.0   2.7   1.2  90.0   6.7   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 10 22 19                      10  10    8 St        -9  -9   6   210  0.0  0.23 -9   7.8 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3  1
202504030900 131   5  2.1  -9 -9.0   -9 1015.0 1022.3  2   1.0   4.1   1.6  84.0   6.9   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 10 11 19                      10  10    8 St        -9  -9   6   364  0.0  0.74 -9  12.4 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3  1
202504031000 131   7  2.0  -9 -9.0   -9 1015.2 1022.5 -9  -9.0   6.0   1.7  74.0   6.9   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 10 22 19                       8   8   10 St         0   0   6   574  0.9  1.92 -9  20.2 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3  1
202504031100 131   7  2.3  -9 -9.0   -9 1014.8 1022.0 -9  -9.0   9.3   2.6  63.0   7.4   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 10 22 19                       0   0   -9 -         -9  -9  -9   850  1.0  2.62 -9  27.1 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3  1
202504031200 131  29  1.4  -9 -9.0   -9 1013.9 1021.0  8  -1.3  11.8   2.2  52.0   7.2   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 19                       0   0   -9 -         -9  -9  -9  1203  1.0  3.03 -9  32.2 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3  2
202504031300 131   2  1.7  -9 -9.0   -9 1013.1 1020.2 -9  -9.0  13.9   0.1  39.0   6.2   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  1901  1.0  3.21 -9  34.9 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3  2
202504031400 131   5  2.3  -9 -9.0   -9 1012.1 1019.1 -9  -9.0  15.0   0.4  37.0   6.3   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  2046  1.0  3.13 -9  34.7 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3  2
202504031500 131  29  1.3  -9 -9.0   -9 1011.3 1018.3  7  -2.7  15.5  -0.3  34.0   6.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  2302  1.0  2.66 -9  31.5 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3  2
202504031600 131  27  1.8  -9 -9.0   -9 1010.9 1017.9 -9  -9.0  16.3  -2.7  27.0   5.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        3   3   15 Sc         0   0   5  3119  0.8  1.92 -9  28.8 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3  2
202504031700 131  27  1.6  -9 -9.0   -9 1010.7 1017.7 -9  -9.0  16.0  -3.5  26.0   4.7   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        3   3   15 Sc         0   0   5  3602  1.0  1.56 -9  22.9 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3  2
